Size of Matrix,Dynamic Single Array : +,Dynamic Double Array : +,Vector : +,Dynamic Single Array : x,Dynamic Double Array : x,Vector : x,
200,17,65,49,15185,14783,15289,
201,16,48,43,15334,14982,15351,
202,16,49,43,15260,15082,16032,
203,16,49,42,15769,15799,15715,
204,17,54,47,15502,15390,16079,
205,17,48,45,15960,15861,18392,
206,16,89,81,16029,15850,15977,
207,17,49,45,16366,15714,16228,
208,17,49,48,16150,15952,16503,
209,18,50,46,16415,16198,16950,
210,19,52,48,16644,16393,16905,
211,18,51,46,17063,16634,17166,
212,18,53,47,17236,17338,18033,
213,17,52,47,17367,17404,17671,
214,18,57,51,17738,17409,17997,
215,19,53,52,17913,17734,18443,
216,19,53,49,18148,17875,18745,
217,19,53,52,18532,18681,18957,
218,23,72,54,19022,18508,19109,
219,20,58,53,19202,18902,19244,
220,20,57,52,19696,18791,19422,
221,20,58,52,19637,19201,19856,
222,21,60,56,20017,19338,20312,
223,21,55,51,20053,19720,20243,
224,23,62,59,20188,19970,20886,
225,21,60,56,20715,20090,21127,
226,22,59,53,20973,20413,21140,
227,23,63,53,21196,21023,21824,
228,22,64,56,21407,20972,21545,
229,24,69,60,21734,21270,21883,
230,24,66,66,21953,21505,22185,
231,24,69,61,22232,21819,22809,
232,25,76,75,22977,22649,24483,
233,22,66,58,22804,22587,23290,
234,22,69,70,23246,22626,23195,
235,21,59,57,23419,22822,23776,
236,22,64,58,23996,23456,23995,
237,23,67,58,24143,23519,24447,
238,23,67,60,24402,23800,24688,
239,22,61,59,24541,24402,25021,
240,22,65,61,24660,24655,25370,
241,24,76,67,25106,24763,25427,
242,24,67,61,25755,25122,25963,
243,24,65,61,26478,25825,26366,
244,24,74,66,26455,26348,27089,
245,30,73,61,27328,26113,26813,
246,27,68,64,26630,26427,26924,
247,29,74,70,27291,26504,27436,
248,29,83,69,27298,26893,27777,
249,31,84,75,27823,27201,27981,
250,34,77,65,28243,27571,28463,
251,34,76,139,28782,27985,28932,
252,27,83,68,28906,28471,29322,
253,34,78,64,29291,28725,29317,
254,35,82,75,30082,29778,31146,
255,34,98,83,30338,29219,30441,
256,41,86,77,31339,29702,30599,
257,37,80,68,30610,29994,30925,
258,39,124,79,30973,30326,31327,
259,39,88,71,31219,30550,31629,
260,37,90,82,31687,30948,32277,
261,44,94,73,32329,31617,32252,
262,44,94,93,32465,31733,32821,
263,44,100,73,33329,32265,34181,
264,60,107,93,34304,34207,34974,
265,46,98,80,33515,32965,34691,
266,30,84,84,34030,33224,34281,
267,46,107,97,34183,33681,34649,
268,49,101,90,34816,34039,35170,
269,44,103,76,35248,34828,35663,
270,48,100,94,35376,34798,35637,
271,49,100,77,35923,36068,36360,
272,52,106,100,36192,35888,37017,
273,54,112,85,37631,36410,36965,
274,59,112,92,36931,36870,37294,
275,64,122,81,37571,36721,37743,
276,73,133,107,37921,37246,38436,
277,31,159,104,38538,38281,38952,
278,32,97,107,39041,38554,39264,
279,33,99,93,39175,38503,39664,
280,32,96,111,39901,39859,40908,
281,34,111,100,41609,39140,40162,
282,34,96,102,41012,39742,40635,
283,34,96,84,40666,39994,41692,
284,33,109,105,41851,40897,42290,
285,60,107,85,42724,41479,42829,
286,36,107,97,42766,41936,43062,
287,47,128,104,42999,42391,43631,
288,34,103,109,44242,42564,43477,
289,34,103,95,43541,43378,45130,
290,63,112,123,45691,43012,44216,
291,32,105,91,44453,43631,45121,
292,35,105,95,45445,44313,45769,
293,34,104,89,45241,44299,45924,
294,34,96,99,45830,45021,46881,
295,39,123,141,47543,46094,46885,
296,39,136,115,46639,46113,47130,
297,44,113,103,47212,46235,47563,
298,47,134,122,48053,46705,48078,
299,41,113,106,48195,47489,48690,
300,36,136,127,49142,47738,49884,
301,36,110,102,50582,48883,50036,
302,40,105,106,50096,48897,50399,
303,37,106,102,50320,49147,50905,
304,35,114,140,50672,49809,51325,
305,43,116,112,51472,50317,51327,
306,65,110,97,51487,50650,52500,
307,40,114,97,53615,52405,54042,
308,34,119,112,52722,51536,53387,
309,38,112,107,52981,52094,53571,
310,40,115,109,53798,52475,54291,
311,39,113,108,54221,53150,55029,
312,38,136,129,55754,53986,55360,
313,42,126,144,57075,54217,55808,
314,80,114,106,56409,54521,56527,
315,40,120,110,57272,55374,56877,
316,40,124,115,57460,55815,57494,
317,42,135,117,57731,56553,58164,
