Matrix Size,Naive Multiplication,OpenCV Multiplication,OpenMP Multiplication,Strassen Multiplication,
5,0.64,152462,901.693,0.64,
6,0.96,3.841,2.881,0.96,
7,0.961,2.24,5.762,0.96,
8,1.28,2.241,3.201,1.281,
9,1.6,3.521,5.762,2.241,
10,2.241,3.201,4.481,2.561,
11,2.881,3.2,216.061,3.201,
12,3.521,3.841,200.376,4.161,
13,4.162,4.161,234.306,5.121,
14,5.122,4.161,198.776,6.082,
15,6.402,5.121,217.021,7.362,
16,7.682,5.122,228.545,8.642,
17,9.283,6.402,15.044,10.563,
18,10.884,7.042,210.299,13.764,
19,13.124,7.362,201.656,16.004,
20,15.684,8.002,206.778,18.565,
21,18.565,9.603,208.379,21.446,
22,21.126,9.923,231.426,24.327,
23,24.327,11.203,202.937,27.528,
24,27.207,11.843,211.259,31.049,
25,30.408,13.764,247.75,34.889,
26,35.21,15.685,23.686,39.371,
27,37.771,16.645,216.061,43.852,
28,42.252,17.284,233.666,48.654,
29,47.054,19.205,221.503,53.455,
30,53.455,21.446,215.421,59.217,
31,58.577,23.686,232.065,64.658,
32,62.418,25.607,243.269,71.06,
33,69.78,27.528,221.822,225.024,
34,76.181,29.768,224.383,273.037,
35,82.583,32.329,52.175,229.505,
36,89.945,34.249,27.848,36.81,
37,177.33,38.731,222.142,77.781,
38,104.989,41.292,236.866,247.11,
39,112.992,44.172,232.706,238.787,
40,202.297,46.093,233.025,286.801,
41,129.956,52.814,269.836,106.27,
42,140.84,56.015,1087.99,106.27,
43,210.299,60.817,89.305,297.044,
44,161.325,62.737,243.908,121.954,
45,174.129,64.979,258.633,259.593,
46,260.234,69.459,251.271,307.607,
47,195.895,74.581,115.873,283.6,
48,208.059,77.461,260.553,522.387,
49,262.474,83.544,292.242,328.092,
50,234.626,90.905,266.315,286.8,
51,250.631,94.427,271.116,33112.7,
52,319.45,101.149,278.798,346.978,
53,280.399,107.23,278.479,313.688,
54,297.043,112.672,290.962,318.17,
55,315.609,120.354,288.401,366.823,
56,332.573,122.594,290.001,331.293,
57,352.099,129.957,294.483,338.335,
58,420.278,137.639,301.845,377.707,
59,386.669,145.641,1067.18,361.702,
60,406.514,150.762,530.069,353.699,
61,427.961,161.326,311.448,395.952,
62,450.367,171.248,324.572,370.024,
63,471.172,255.111,332.894,367.783,
64,493.579,181.811,710.92,522.707,
65,518.226,191.094,338.015,556.956,
66,543.833,282.32,360.742,485.256,
67,568.8,211.259,353.699,600.809,
68,595.047,219.262,360.421,409.396,
69,621.295,264.074,377.066,1386.63,
70,648.823,249.03,380.907,563.358,
71,676.35,251.271,386.668,596.968,
72,707.719,339.615,392.11,512.144,
73,736.527,301.845,399.472,623.535,
74,786.461,285.52,421.559,624.176,
75,801.505,370.344,424.759,639.22,
76,831.274,304.406,421.559,556.637,
77,864.883,313.688,473.413,639.86,
78,899.453,412.276,456.129,633.778,
79,937.543,344.737,453.567,636.979,
80,966.672,347.298,274.637,426.04,
81,1003.8,362.982,288.081,493.578,
82,1042.53,377.707,297.684,501.581,
83,1080.3,393.711,305.046,529.749,
84,1123.84,402.673,313.048,489.737,
85,1203.86,420.598,335.455,499.66,
86,1204.5,456.448,1148.8,535.19,
87,1249.95,453.248,364.262,536.791,
88,1291.56,467.332,810.147,552.475,
89,1333.49,480.135,379.947,598.568,
90,1380.55,511.184,393.071,572.001,
91,1428.24,518.546,402.673,621.295,
92,1485.54,534.23,413.556,581.283,
93,1535.47,557.597,439.484,652.984,
94,1584.13,578.722,448.446,607.851,
95,1659.35,587.685,457.089,653.623,
96,1674.71,605.611,466.051,647.222,
97,1732.97,622.255,496.78,739.728,
98,2043.45,643.701,500.621,700.677,
99,1837,679.231,515.345,826.792,
100,1896.85,685.312,525.587,732.366,
101,1964.71,697.796,556.637,788.702,
102,2023.93,723.403,578.722,741.969,
103,2086.67,745.49,582.243,836.715,
104,2143.96,757.973,591.846,951.628,
105,2197.42,784.22,632.498,880.247,
106,2259.52,825.512,640.18,840.236,
107,2337.3,835.115,644.342,1086.39,
108,2410.92,849.519,653.624,870.005,
109,2481.66,878.648,700.677,954.829,
110,2524.55,907.135,1040.29,911.936,
111,2593.69,931.462,725.324,1149.76,
112,2669.23,950.987,736.527,1264.35,
113,2772.3,975.314,767.256,1067.18,
114,2826.4,1006.36,1003.16,2143,
115,2885.61,1041.89,809.827,1094.39,
116,2965.96,1065.58,822.312,1101.75,
117,3044.38,1113.27,847.919,1160.65,
118,3118,1117.43,1709.92,1091.51,
119,3198.34,1144.64,894.331,1145.28,
120,3274.2,1182.41,909.056,1110.39,
121,3359.99,1201.62,954.188,1249.63,
122,3617.34,1235.23,968.272,1358.46,
123,3661.51,1263.71,1094.39,1296.68,
124,3817.39,1304.69,1091.19,1266.92,
125,3905.1,1325.17,1128.96,1355.58,
126,4029.93,1355.58,1153.28,1322.29,
127,4574.09,1393.67,1082.54,2105.87,
128,3989.28,1450.97,1667.35,2056.26,
129,4092.35,1544.44,1152.96,2299.21,
130,4177.17,1495.14,1192.66,2341.78,
131,4702.44,1573.88,1196.18,2595.29,
132,4384.91,1586.05,1208.02,2568.08,
133,4487.34,1593.73,1248.03,2467.57,
134,4715.57,1645.9,1278.44,2405.48,
135,4793.99,1681.43,1297.96,2566.16,
136,4795.91,1697.76,1670.87,2385.31,
137,4917.22,1745.45,1377.03,2773.9,
138,4988.28,1789.94,1400.39,2648.75,
139,5232.51,1844.36,1415.76,2484.86,
