Matrix Size,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
10,2.241,5216.15,3445.75,
11,3.521,3.841,1640.13,
12,4.161,8.322,737.483,
13,4.802,4.801,714.117,
14,6.082,3.841,702.274,
15,7.042,8.322,901.048,
16,8.963,6.721,717.958,
17,10.243,8.642,711.556,
18,13.764,312.085,932.417,
19,16.004,238.146,1973.66,
20,18.565,256.711,910.331,
21,21.446,247.108,905.529,
22,24.327,289.36,958.984,
23,27.528,229.824,984.591,
24,31.048,250.629,914.491,
25,35.21,236.225,930.496,
26,39.371,253.51,868.719,
27,44.172,243.907,970.507,
28,48.653,27.528,887.284,
29,54.415,246.147,966.026,
30,59.857,253.509,952.902,
31,65.298,240.707,949.382,
32,72.019,253.83,1331.57,
33,78.102,23.687,703.874,
34,85.464,24.647,667.383,
35,94.426,25.607,688.189,
36,102.748,27.528,655.22,
37,110.43,31.049,711.876,
38,119.713,33.289,664.823,
39,128.035,35.209,776.533,
40,138.278,36.17,730.121,
41,148.521,41.292,682.428,
42,160.684,43.532,686.269,
43,171.247,45.773,693.631,
44,184.371,47.373,1137.27,
45,197.494,53.455,703.874,
46,210.618,55.696,670.584,
47,223.422,58.256,688.509,
48,235.905,60.817,705.154,
49,251.269,68.179,662.262,
50,265.033,70.42,2860.63,
51,284.238,306.324,990.673,
52,368.741,331.291,931.777,
53,318.488,308.565,973.068,
54,348.896,330.011,1092.78,
55,355.297,323.609,913.531,
56,443.322,343.135,1038.05,
57,395.949,317.848,951.622,
58,484.614,349.857,1052.77,
59,436.6,327.771,991.632,
60,526.865,369.382,921.854,
61,481.412,348.896,945.54,
62,573.278,375.144,949.702,
63,529.746,355.298,1036.44,
64,588.642,398.51,1098.86,
65,580.96,374.183,999.315,
66,675.386,421.556,1012.76,
67,634.415,384.746,1037.73,
68,666.104,313.046,828.708,
69,691.07,181.81,753.808,
70,722.759,186.931,754.127,
71,753.807,192.373,758.929,
72,790.618,196.854,818.145,
73,1211.85,213.498,808.543,
74,853.355,218.62,764.05,
75,888.245,225.342,792.538,
76,925.054,232.384,2761.08,
77,961.865,477.571,1020.12,
78,1069.42,514.382,1145.59,
79,1038.36,481.092,1087.34,
80,1077.74,491.976,1101.74,
81,1118.71,502.218,1064.29,
82,1163.52,506.379,1078.06,
83,1204.17,519.502,1091.5,
84,1261.79,540.629,1200.01,
85,1294.44,545.43,1080.62,
86,1334.45,648.818,1063.01,
87,1381.18,579.679,1537.06,
88,1430.47,589.282,1196.17,
89,1482.65,594.723,1067.17,
90,1543.79,601.766,1163.2,
91,1585.4,627.373,27016.1,
92,1689.74,642.097,3440.31,
93,1696.15,644.657,1087.34,
94,1747.68,651.38,1148.8,
95,1803.38,677.626,1099.18,
96,1858.43,688.51,1059.49,
97,1917.01,703.874,1165.44,
98,3388.45,712.836,1085.42,
99,2041.52,742.284,1146.88,
100,2107.46,755.088,1107.19,
101,2172.44,768.852,1130.23,
102,2235.5,778.454,1086.06,
103,2340.8,809.823,1148.48,
104,2366.09,817.825,1219.54,
105,2436.83,824.547,1393.66,
106,2503.73,865.198,1129.59,
107,2574.79,878.642,1183.69,
108,2682.98,929.856,1152.32,
109,2723.95,896.567,1164.16,
110,2795.33,709.316,995.794,
111,2866.07,725,913.212,
112,2949.93,737.483,886.004,
113,3032.51,972.107,914.812,
114,3112.54,792.858,934.978,
115,3199.92,852.074,939.138,
116,3419.18,822.946,999.956,
117,3368.29,918.012,990.673,
118,3613.79,879.602,1007,
119,3535.69,889.845,1519.14,
120,3625.64,1100.46,1040.29,
121,3712.7,956.744,990.993,
122,3803.93,965.706,1190.41,
123,3912.12,982.35,1114.23,
124,4205.32,1054.69,1236.18,
125,4336.55,1861.95,1131.19,
126,4398.33,1115.51,1188.49,
127,4372.4,1080.62,1123.19,
128,4391.61,1283.87,1126.07,
129,4491.16,1143.99,1113.91,
130,4605.11,1169.6,1030.04,
131,4724.82,1178.88,1060.13,
132,4977.37,1220.18,1160.32,
133,4918.47,1260.51,1082.86,
134,5208.79,1284.51,1134.39,
135,5160.78,1288.68,1077.1,
136,5453.02,1315.56,1072.61,
137,5383.88,1512.74,1157.76,
138,5484.39,1431.75,1148.48,
139,5790.39,1421.83,1208.65,
140,5752.3,1526.18,1306.92,
141,5881.94,1480.73,1230.74,
142,6227.63,1527.14,1148.16,
143,6124.57,1527.14,1176.64,
144,6428.97,1614.84,1267.23,
145,6486.91,1608.12,1275.23,
146,6529.8,1653.9,1269.15,
147,6678.96,1681.74,1216.66,
148,6898.54,1699.35,1248.66,
149,7034.9,1878.92,1330.61,
150,7118.76,3131.74,1363.26,
151,7228.23,1801.46,1565.87,
152,7636.66,2245.42,1296.68,
153,7627.7,1923.41,1360.69,
154,7679.23,2100.74,1523.94,
155,7823.91,1959.58,1381.82,
156,8020.13,2024.24,1451.28,
157,8231.39,2053.36,1373.5,
158,8547.31,2075.13,1433.03,
159,8565.24,2152.59,1422.15,
160,8575.16,2430.11,1464.4,
161,8800.18,2223.01,1668.3,
162,8911.25,2262.7,1421.83,
163,9117.07,2315.2,1524.58,
164,9376.98,2328,1579.64,
165,9692.59,10323.8,1761.12,
166,9599.12,2665.69,1575.47,
167,9916.33,2712.75,1637.57,
168,10207.6,2778.36,1785.77,
169,10129.5,2768.76,1636.93,
170,10555.5,2873.11,1783.85,
171,10440.6,2705.06,1637.89,
172,10834.7,2679.46,1711.51,
173,11035.7,2747.64,1769.13,
174,11273.2,2989.3,1728.48,
175,11446.3,2817.42,1810.74,
176,11611.8,2847.5,1746.08,
177,11842.6,2970.1,1818.74,
178,11928.7,2967.86,1981.99,
179,
