Matrix Size,Standard Summation,OpenMP Summation,Multithraed Summation,
10,0.321,3560.36,12308.7,
11,0.64,4.161,14435.1,
12,0.32,4.801,922.5,
13,0.32,2.241,755.732,
14,0.64,40.332,786.461,
15,0.641,159.725,732.366,
16,0.641,4.802,709.96,
17,0.961,1.921,7106.32,
18,0.96,6.402,1220.5,
19,0.96,230.465,942.665,
20,0.96,2126.68,976.915,
21,0.961,5.122,1959.91,
22,0.96,257.992,967.952,
23,1.281,232.385,898.493,
24,0.96,4.161,937.543,
25,1.281,229.184,2183.01,
26,1.28,220.862,955.148,
27,1.601,229.505,954.508,
28,1.601,218.942,920.899,
29,1.601,4.801,966.992,
30,1.6,227.584,981.396,
31,1.921,219.901,978.515,
32,1.921,218.621,943.305,
33,1.92,220.542,957.709,
34,2.241,218.622,947.786,
35,2.24,219.261,940.745,
36,2.561,219.262,2723.97,
37,2.241,5.761,950.027,
38,2.561,228.225,875.766,
39,2.881,224.383,5907.26,
40,2.881,228.224,1853.96,
41,2.881,234.626,913.857,
42,2.881,220.222,894.332,
43,3.521,227.264,1118.07,
44,3.521,236.547,2428.84,
45,3.841,6.401,34169.6,
46,3.841,252.231,932.103,
47,4.802,229.825,881.848,
48,4.161,221.182,882.809,
49,4.161,222.462,894.652,
50,4.482,224.063,898.813,
51,4.482,196.215,911.296,
52,4.801,257.672,919.939,
53,4.801,242.308,881.208,
54,5.122,228.864,887.93,
55,5.121,13.764,958.349,
56,5.442,221.822,945.546,
57,5.442,14.404,905.854,
58,25.287,219.901,940.104,
59,6.082,243.909,1848.84,
60,6.082,225.023,870.005,
61,6.401,225.664,918.339,
62,6.722,225.023,1738.73,
63,6.722,7.362,909.376,
64,7.042,222.783,896.572,
65,7.042,13.444,1156.81,
66,7.362,8.642,1074.86,
67,7.682,233.346,1433.04,
68,8.002,225.344,959.31,
69,8.002,241.668,870.325,
70,8.322,221.502,881.848,
71,8.323,226.624,924.1,
72,8.643,225.023,3184.9,
73,9.283,234.626,993.879,
74,10.563,226.304,927.621,
75,9.602,394.671,910.977,
76,9.602,295.123,4113.16,
77,9.923,226.944,1273.64,
78,9.922,222.463,896.253,
79,10.563,228.865,1040.93,
80,10.883,11.204,941.384,
81,10.563,222.782,865.523,
82,10.883,14.725,1055.02,
83,11.524,225.984,951.307,
84,11.523,14.404,1716,
85,11.843,228.545,870.965,
86,12.163,14.084,938.184,
87,12.484,14.084,893.691,
88,12.804,14.724,959.95,
89,13.124,237.187,1509.86,
90,13.444,16.004,947.786,
91,13.764,15.044,910.016,
92,14.084,252.231,889.53,
93,14.084,11.844,933.063,
94,14.404,15.364,920.579,
95,14.724,222.783,1524.59,
96,15.044,259.273,944.266,
97,15.365,14.724,949.707,
98,15.684,398.512,952.908,
99,16.005,234.947,939.464,
100,16.645,15.365,1337.02,
101,16.645,246.149,909.056,
102,17.285,257.992,887.61,
103,17.285,230.145,926.981,
104,17.925,264.715,953.549,
105,17.925,223.422,5524.75,
106,18.565,273.357,959.95,
107,18.565,235.266,892.091,
108,18.885,256.712,957.069,
109,19.205,16.005,1122.23,
110,19.526,7.682,757.013,
111,19.845,7.362,687.233,
112,20.486,7.682,718.602,
113,20.806,154.284,700.678,
114,21.126,8.003,704.838,
115,21.766,8.002,726.924,
116,22.086,8.323,713.481,
117,22.406,8.643,685.953,
118,23.046,8.323,742.289,
119,23.046,8.322,718.922,
120,23.366,8.643,704.198,
121,24.007,8.322,669.628,
122,24.007,8.322,697.476,
123,24.647,8.963,732.686,
124,25.287,8.963,779.739,
125,25.287,9.282,719.882,
126,25.607,8.963,715.082,
127,26.247,9.283,735.247,
128,26.567,9.282,729.165,
129,27.208,9.602,720.202,
130,27.528,9.603,779.42,
131,27.848,9.922,716.042,
132,28.168,9.603,817.83,
133,28.488,29.768,759.573,
134,29.128,338.655,4863.77,
135,39.371,10.563,787.421,
136,30.089,9.923,748.691,
137,30.409,10.563,765.015,
138,30.409,11.523,816.869,
139,31.048,10.563,756.373,
140,31.689,10.883,5095.83,
141,32.009,11.203,749.011,
142,32.329,10.563,710.279,
143,32.649,10.883,717.962,
144,33.609,11.203,1109.11,
145,33.61,11.523,783.58,
146,34.249,11.203,712.2,
147,34.89,11.203,739.408,
148,35.85,11.204,723.724,
149,35.53,11.524,723.083,
150,36.17,11.523,1190.09,
151,36.49,11.844,753.172,
152,36.81,11.523,743.249,
153,37.771,11.843,703.237,
154,38.091,12.163,733.966,
155,38.731,12.164,731.726,
156,39.691,12.483,1254.75,
157,39.691,12.483,736.847,
158,40.011,12.483,761.815,
159,40.972,12.804,700.677,
160,41.292,13.123,714.121,
161,41.612,12.803,712.52,
162,42.572,13.124,759.894,
163,43.213,13.763,644.341,
164,43.532,13.444,742.288,
165,43.853,89.305,780.059,
166,44.813,14.084,756.053,
167,44.812,14.084,721.483,
168,46.093,14.404,1625.42,
169,46.093,14.084,749.651,
170,46.413,14.404,754.452,
171,47.373,14.724,780.06,
172,48.014,14.724,768.216,
173,47.693,14.724,1500.58,
174,48.653,29.769,4040.5,
175,49.294,15.364,790.303,
176,49.934,15.685,783.26,
177,139.559,30.409,898.493,
178,51.534,15.684,722.443,
179,51.855,15.685,796.704,
180,52.495,15.684,741.328,
181,52.815,16.004,741.649,
182,54.095,30.729,752.212,
183,53.775,16.325,746.45,
184,54.415,16.325,756.373,
185,54.735,16.324,739.408,
186,56.016,16.964,847.278,
187,56.336,32.33,1190.42,
188,56.976,17.605,824.872,
189,57.616,17.285,1410.32,
190,57.937,17.285,812.708,
191,58.897,17.925,770.777,
192,58.577,17.605,825.192,
193,59.857,17.925,796.384,
194,60.177,35.209,789.982,
195,60.497,26.568,952.588,
196,62.097,18.565,1406.16,
197,62.098,18.565,870.005,
198,62.738,18.886,749.651,
199,63.377,18.565,801.185,
200,64.658,18.885,782.94,
201,64.338,37.45,927.941,
202,66.899,19.846,781.98,
203,65.299,19.525,1205.14,
204,66.579,38.411,2668.27,
205,67.219,20.486,783.26,
206,68.82,20.806,823.591,
207,68.499,483.977,813.668,
208,68.819,20.486,782.941,
209,69.78,20.486,818.79,
210,70.74,20.486,1192.98,
211,70.74,20.806,902.013,
212,72.34,21.446,786.461,
213,72.661,21.126,802.145,
214,73.62,21.446,823.271,
215,74.581,21.446,856.561,
216,74.581,22.086,824.872,
217,75.221,22.087,1000.28,
218,75.861,22.406,784.54,
219,76.502,21.766,1059.18,
220,79.383,23.047,868.724,
221,77.782,72.66,836.075,
222,79.062,106.269,850.479,
223,79.062,22.726,785.181,
224,80.663,23.046,864.563,
225,80.343,23.046,783.901,
226,81.623,23.046,870.645,
227,81.303,23.367,765.656,
228,82.903,24.007,1150.4,
229,84.824,24.327,834.155,
230,84.184,24.647,820.711,
231,84.504,2322.25,2488.38,
232,86.425,25.287,817.51,
233,85.784,24.327,793.823,
234,87.065,25.287,808.547,
235,87.384,49.614,1188.17,
236,89.305,25.927,1134.72,
237,90.586,25.607,799.265,
238,90.265,25.287,814.309,
239,92.506,26.568,791.903,
240,92.186,25.927,826.153,
241,94.426,26.887,815.909,
242,92.826,26.247,895.612,
243,94.746,26.888,829.354,
244,97.628,27.848,984.597,
245,95.067,27.208,853.68,
246,96.347,127.076,852.08,
247,97.947,27.848,805.987,
248,97.307,27.528,882.489,
249,99.548,28.488,897.532,
250,98.267,27.528,805.027,
251,99.868,28.168,898.173,
252,101.469,28.488,894.972,
253,102.429,95.707,891.451,
254,103.389,29.129,827.112,
255,103.069,28.808,4962.36,
256,110.111,31.368,820.391,
257,104.349,30.089,883.129,
258,105.95,30.409,862.002,
259,147.881,29.768,877.047,
260,107.87,30.729,806.627,
261,107.87,30.088,858.161,
262,109.47,51.214,817.51,
263,111.072,30.729,887.61,
264,111.071,31.368,793.504,
265,112.032,31.049,1231.39,
266,112.351,32.009,837.036,
267,112.671,31.369,1119.68,
268,115.872,32.33,878.967,
269,114.592,40.332,893.371,
270,117.473,33.289,882.808,
271,120.034,32.97,798.304,
272,116.513,32.329,848.559,
273,118.433,33.29,859.762,
274,120.034,33.93,912.256,
275,120.674,32.97,1017.25,
276,120.994,33.93,824.232,
277,122.274,34.25,3840.76,
278,129.957,49.614,897.212,
279,124.195,33.929,879.608,
280,124.515,61.137,1056.3,
281,125.796,35.21,819.111,
282,126.436,34.89,808.547,
283,128.356,35.53,854.96,
284,127.716,35.85,921.86,
285,129.316,45.133,848.239,
286,128.676,35.85,826.153,
287,131.877,36.811,1200.98,
288,132.198,36.17,2289.28,
289,132.837,138.919,894.332,
290,133.158,47.693,1066.22,
291,133.478,36.811,908.735,
292,136.038,39.051,818.471,
293,136.358,50.574,1140.8,
294,137.959,39.051,2898.74,
295,137.318,55.376,1131.2,
296,140.519,38.731,1179.85,
297,139.56,3593.01,900.413,
298,141.16,39.371,894.331,
299,144.681,58.897,813.349,
300,144.041,57.617,797.984,
301,143.08,64.338,961.87,
302,145,40.331,1071.66,
303,144.681,40.011,808.868,
304,146.922,40.332,1097.27,
305,148.522,40.331,1110.71,
306,148.522,41.611,905.855,
307,151.723,44.172,924.1,
308,150.762,44.493,1077.1,
309,151.083,44.813,906.175,
310,152.043,166.447,821.992,
311,154.603,41.612,894.012,
312,201.016,59.856,926.02,
313,156.524,42.252,845.677,
314,156.524,43.212,767.895,
315,399.472,43.213,885.049,
316,157.805,43.532,5062.22,
317,159.085,44.173,1386.95,
318,161.325,66.259,867.124,
319,161.326,44.173,886.009,
320,167.407,64.978,871.605,
321,162.926,44.172,875.126,
322,164.846,45.452,841.517,
323,169.008,44.493,942.025,
324,167.728,64.979,839.596,
325,167.087,63.058,938.504,
326,168.367,72.981,883.768,
327,177.33,51.535,940.104,
328,171.248,69.78,828.713,
329,172.209,46.093,885.369,
330,173.489,47.693,899.773,
331,172.849,49.614,849.839,
332,174.449,47.373,838.316,
333,177.01,48.013,973.394,
334,176.37,74.261,4647.71,
335,178.931,81.943,991.959,
336,178.61,69.14,828.713,
337,178.29,63.378,890.81,
338,180.851,79.062,905.534,
339,182.771,48.653,902.654,
340,182.451,49.934,1169.29,
341,185.012,50.254,931.782,
342,187.893,49.614,949.387,
343,186.932,50.574,1343.42,
344,188.213,50.254,827.113,
345,189.813,204.538,831.273,
346,188.213,51.214,948.107,
347,190.774,51.535,926.66,
348,191.734,52.175,857.521,
