Matrix Size,Standard Sum,OpenMP Sum,Multithraed Sum,Standard Multiplication,OpenMP Multiplication,Multithraed Multiplication,
10,0.64,144.361,3861.89,2.561,5.122,820.391,
11,0.64,2.561,832.874,3.2,3.521,765.656,
12,0.64,2.56,1870.93,4.162,3.2,738.767,
13,0.64,411.956,973.073,4.801,201.977,1046.69,
14,0.64,197.496,970.833,5.761,209.979,943.625,
15,0.641,221.822,1009.24,7.362,211.9,941.064,
16,0.64,196.536,932.422,8.643,208.379,877.047,
17,0.64,197.495,1974.96,10.563,211.9,881.528,
18,0.641,4.801,922.179,12.483,148.522,3025.81,
19,0.64,4.481,977.876,16.005,244.548,1023.33,
20,0.961,199.737,887.29,18.886,227.264,964.111,
21,0.961,205.818,879.927,21.126,203.898,887.289,
22,1.28,200.376,953.548,24.007,205.177,946.506,
23,1.28,219.261,913.217,27.528,212.859,885.689,
24,1.28,203.257,1577.72,31.689,663.227,920.259,
25,1.281,198.456,877.367,35.21,210.62,880.247,
26,1.28,205.818,964.111,39.371,242.629,878.648,
27,1.6,201.977,917.378,44.813,1638.54,935.624,
28,1.6,205.818,894.331,48.654,218.621,899.453,
29,1.6,903.294,948.107,55.055,215.421,921.219,
30,1.601,197.175,2579.61,59.537,35.21,890.17,
31,1.921,194.295,1088.31,66.899,225.983,882.489,
32,1.921,197.495,869.045,71.7,247.429,867.124,
33,1.92,202.617,939.784,78.742,250.31,2494.46,
34,2.241,200.056,997.401,85.784,252.551,932.742,
35,2.561,208.059,902.974,93.146,248.71,918.978,
36,2.561,203.897,935.623,101.788,268.235,931.782,
37,2.56,205.497,950.667,109.471,249.03,990.679,
38,2.561,198.136,925.7,120.034,257.993,882.168,
39,3.201,200.056,933.702,129.317,260.873,896.252,
40,3.841,9.922,1587.65,139.239,242.949,971.793,
41,2.881,209.659,898.493,151.083,266.955,874.486,
42,3.201,199.736,947.467,160.365,268.876,910.336,
43,3.521,9.923,757.333,217.982,231.105,840.236,
44,3.521,205.818,940.424,229.504,268.235,878.967,
45,3.841,10.883,859.762,241.988,806.307,947.146,
46,3.841,222.143,3487.38,266.955,248.71,1003.48,
