Matrix Size,Threshold(4),Threshold(8),Threshold(6),Threshold(32),Threshold(64),
10,11958,1608,5,5,31,
11,7071,44,3,2,2,
12,60,43,3,3,3,
13,72,43,7,6,6,
14,68,1178,4,4,4,
15,427,246,223,17,229,
16,799,271,195,217,194,
17,948,275,159,719,224,
18,240,296,267,218,195,
19,264,267,292,197,226,
20,122,306,265,218,197,
21,111,42059,102,9,9,
22,77,70,75,10,9,
23,161,118,105,108,11,
24,108,147,101,11,11,
25,104,106,104,14,13,
26,81,74,72,15,14,
27,87,68,102,32,16,
28,85,74,72,17,521,
29,126,1434,370,376,38,
30,130,139,99,43,43,
31,111,101,102,2724,262,
32,7150,134,123,62,61,
33,515,5257,603,501,236,
34,428,482,802,492,230,
35,451,367,492,476,830,
36,388,478,2874,491,229,
37,851,442,477,457,179,
38,358,390,833,475,238,
39,686,465,523,445,232,
40,362,656,442,432,241,
41,432,372,393,472,247,
42,310,1779,252,268,54,
43,279,280,252,415,56,
44,304,265,291,268,58,
45,302,253,252,245,505,
46,303,1127,285,277,69,
47,260,256,257,249,137,
48,283,249,275,260,75,
49,308,262,257,264,84,
50,763,394,499,500,276,
51,362,513,357,466,287,
52,366,1113,451,498,291,
53,461,477,514,478,298,
54,409,483,516,516,294,
55,391,454,522,452,274,
56,334,423,2550,518,313,
57,354,475,446,481,284,
58,542,629,610,605,278,
59,402,465,489,460,322,
60,390,474,483,473,334,
61,816,465,499,475,342,
62,330,784,527,2139,354,
63,453,454,520,459,350,
64,769,443,477,434,363,
65,1474,2328,1610,1568,1644,
66,2129,1623,1550,3505,1593,
67,1482,2073,1638,1550,4016,
68,1407,1647,1546,3114,1558,
69,4253,1888,1634,2086,1618,
70,1376,3761,1386,1364,1361,
71,1877,1345,1376,1356,1834,
72,1374,1414,1350,1855,1357,
73,3056,1828,1621,1398,1362,
74,1858,1365,1442,1359,1817,
75,1808,1401,1358,1349,2170,
76,1384,1603,1363,1804,1358,
77,1587,1360,1399,1354,1467,
78,1373,1568,1418,1504,1350,
79,1941,1362,1614,1364,1356,
80,1411,1509,1391,1364,1358,
81,1494,1363,1370,1539,1531,
82,2147,1354,1352,1571,1358,
83,1407,1706,1568,1441,1371,
84,1377,1582,1349,1360,1368,
85,1449,2142,1355,1345,1486,
86,1382,1369,1356,1768,1883,
87,1395,1445,1370,1352,1371,
88,1565,1402,1360,1369,1457,
89,1391,1361,1357,1746,1585,
90,1395,1361,1488,1356,1354,
91,1398,2930,1438,1362,1363,
92,1412,1363,1351,1391,1485,
93,1508,1419,1380,1349,1362,
94,1812,1410,1354,1377,1358,
95,1407,1347,1734,1352,1616,
96,1408,1394,1360,1366,1400,
97,1399,1357,1700,1529,2557,
98,1425,1450,1523,1373,1360,
99,1917,1377,1356,1362,1456,
100,1383,1363,1351,1364,1349,
101,1393,1355,1364,1895,1370,
102,1391,1360,1599,1369,1417,
103,1397,1367,1367,1352,1721,
104,1466,1363,2234,1379,1366,
105,1392,1359,1389,14130,32029,
106,3475,8168,21217,45721,1362,
107,1727,23296,1415,1351,1360,
108,2076,2585,2651,1460,1351,
109,1413,1349,2455,1350,1369,
110,2397,1374,1353,1375,1977,
111,1445,1364,1366,1600,1396,
112,1396,1376,1638,1394,1353,
113,1836,1349,1380,1349,1990,
114,1471,1554,1374,1876,1357,
115,1423,1355,3136,1356,1367,
116,2125,1563,1351,1528,1808,
117,1401,1349,1964,1353,1501,
118,3452,1363,1353,1373,1949,
119,1403,1387,4507,1361,1358,
120,2004,1354,1839,3769,1355,
121,1443,1351,1968,1358,1579,
122,1419,1539,1353,1363,1362,
123,1405,1346,2423,2026,1367,
124,1386,1386,1670,1358,1803,
125,2046,1359,1356,1360,1744,
126,1444,3679,1480,1356,1364,
127,1409,1434,1366,1627,1363,
128,2265,1432,1353,1378,1357,
129,11014,9877,10325,10186,9879,
130,11277,9968,11204,10359,10276,
131,10353,9984,10900,9807,10122,
132,11052,9909,10399,11091,9926,
133,10958,11110,9952,10353,10566,
134,9884,10181,10711,9814,10090,
135,9966,11866,10369,10022,9869,
136,9990,9808,9883,9938,9780,
