Size,Standard Multiplication,Multithraed Multiplication,Strassen Multiplication,
10,2.561,205.817,18909.9,
11,3.201,6.082,3362.22,
12,4.161,1097.27,26228.7,
13,4.801,6.721,1351.1,
14,5.762,7.682,790.3,
15,7.363,4.481,1603.33,
16,8.643,5.122,693.633,
17,10.243,8.323,706.117,
18,12.484,555.035,919.296,
19,14.404,14.725,862,
20,18.566,251.911,1271.07,
21,21.125,16.324,917.375,
22,24.326,256.391,934.02,
23,27.207,229.504,907.132,
24,30.729,253.191,886.647,
25,34.57,255.751,1703.83,
26,38.731,252.87,926.338,
27,43.853,233.985,965.068,
28,48.973,261.192,919.296,
29,53.775,238.786,2299.84,
30,59.216,269.195,1732.64,
31,64.978,247.749,947.784,
32,71.7,253.831,936.901,
33,78.102,239.747,274.957,
34,85.463,253.831,249.99,
35,93.146,561.436,295.122,
36,102.429,251.269,70.1,
37,112.352,247.428,282.959,
38,118.113,62.418,80.663,
39,128.356,252.551,288.721,
40,138.278,257.992,266.314,
41,149.161,253.831,322.01,
42,159.404,261.193,17911.5,
43,170.928,1858.44,123.554,
44,181.811,116.832,120.674,
45,196.215,101.788,129.956,
46,215.42,110.751,156.204,
47,222.462,647.22,447.485,
48,236.226,690.112,932.42,
49,254.471,328.092,391.149,
50,266.954,300.244,313.047,
51,281.038,146.921,369.383,
52,323.29,153.003,194.615,
53,317.208,166.126,353.379,
54,357.539,314.648,334.173,
55,353.058,184.372,370.023,
56,412.595,219.261,338.974,
57,392.109,355.299,596.646,
58,438.842,213.18,362.341,
59,435.322,326.171,385.707,
60,479.814,230.464,366.822,
61,479.494,246.468,316.248,
62,540.951,318.488,408.754,
63,528.788,375.144,435.641,
64,578.401,280.398,546.392,
65,580.321,362.02,532.308,
66,628.655,306.005,411.955,
67,634.097,381.227,609.45,
68,661.305,386.987,569.118,
69,691.073,1473.05,565.597,
70,747.088,364.902,425.719,
71,751.569,413.555,617.132,
72,843.435,561.116,575.84,
73,816.548,414.835,537.11,
74,853.678,443.003,518.544,
75,889.527,429.559,624.494,
76,986.834,466.37,529.107,
77,989.395,461.248,657.783,
78,994.197,695.874,646.9,
79,1056.93,479.173,671.867,
80,1075.5,1030.69,718.28,
81,1134.08,500.619,612.33,
82,1157.76,553.754,698.755,
83,1224.98,525.586,754.13,
84,1244.19,840.554,776.216,
85,1302.44,539.03,643.38,
86,1356.86,610.41,760.531,
87,1406.47,575.52,780.697,
88,1494.82,593.445,754.77,
89,1503.14,593.125,851.757,
90,1528.43,604.968,782.297,
91,1605.57,1263.71,1350.78,
92,1660.94,639.538,729.163,
93,1702.87,637.297,874.484,
94,1737.76,684.671,870.962,
95,1937.82,669.307,926.338,
96,1853,750.289,855.918,
97,1933.34,679.869,950.985,
98,2041.85,727.883,936.581,
99,2053.69,728.522,977.232,
100,2103.31,758.931,949.064,
101,2271.99,750.289,1001.24,
102,2234.22,835.112,963.788,
103,2316.8,780.057,1237.15,
104,2475.89,829.03,1014.04,
105,2448.68,832.552,1117.11,
106,2504.06,868.721,1322.61,
107,2575.76,863.28,1133.44,
108,2634.01,947.464,1104.63,
109,2795.34,887.607,1216.02,
110,2779.97,703.556,914.495,
111,2868,730.763,1005.08,
112,3005,739.086,951.625,
113,3019.72,767.894,1064.62,
114,3178.16,834.473,1078.06,
115,3198.33,812.066,1127.35,
116,3276.11,825.83,1282.6,
117,3375.98,872.563,1304.04,
118,3443.84,879.925,1085.74,
119,3641.97,894.649,1177.93,
120,3614.77,926.018,1111.67,
121,3977.43,948.424,1266.91,
122,3798.82,968.27,1218.26,
123,4252.06,1069.1,1307.24,
124,4242.14,1063.34,1261.47,
125,4455,1112.63,1397.19,
126,4460.12,1130.88,1341.17,
127,4419.15,1093.43,2188.77,
128,4398.66,2589.84,2156.44,
129,4518.7,1308.84,2314.88,
130,4662.42,1169.61,2296.96,
131,4786.29,1408.07,2273.27,
132,4808.06,1431.44,2209.25,
133,5182.24,1273.31,2358.1,
134,5040.12,1282.28,2463.08,
135,5224.17,1304.68,2430.76,
136,5564.11,1342.77,2351.05,
137,5388.06,1587.32,2713.07,
138,5675.82,1406.47,2542.15,
139,5748.48,1426.32,2672.1,
140,5847.39,1465.37,2407.71,
141,5864.67,1497.7,3043.09,
142,5999.11,1540.91,2766.53,
