Size,Standard Multiplication,Strassen Multiplication,
10,2.241,2.561,
11,3.2,3.201,
12,3.841,4.161,
13,4.481,6.081,
14,5.761,118.753,
15,7.362,8.322,
16,9.603,8.963,
17,10.243,10.562,
18,12.163,12.483,
19,15.365,16.004,
20,18.565,17.925,
21,21.126,20.806,
22,24.327,24.007,
23,27.528,26.568,
24,31.369,30.729,
25,38.731,34.57,
26,39.051,38.41,
27,44.173,43.853,
28,49.294,63.378,
29,54.735,53.775,
30,59.857,59.217,
31,65.298,64.658,
32,72.66,70.42,
33,78.422,878.967,
34,92.506,8218.95,
35,106.27,386.028,
36,107.55,382.827,
37,138.599,531.989,
38,127.075,293.523,
39,134.438,669.948,
40,145.321,448.446,
41,156.204,471.172,
42,166.126,474.693,
43,173.489,493.258,
44,184.692,510.864,
45,197.175,531.03,
46,211.26,554.076,
47,228.865,492.619,
48,237.186,594.407,
49,253.191,1062.06,
50,269.196,654.904,
51,288.401,673.79,
52,305.046,1362.62,
53,316.889,734.927,
54,337.695,744.209,
55,357.54,778.459,
56,373.865,800.225,
57,394.031,867.124,
58,413.557,877.047,
59,433.722,895.932,
60,457.409,738.768,
61,506.063,968.912,
62,502.541,824.872,
63,531.989,1023.33,
64,556.637,1054.7,
65,583.845,1156.49,
66,607.21,1123.52,
67,637.94,1222.1,
68,669.628,1209.3,
69,696.836,1163.21,
70,722.443,1260.51,
71,755.732,2440.37,
72,786.462,1384.07,
73,821.031,1498.98,
74,856.881,1481.38,
75,892.412,1576.76,
76,929.861,1580.93,
77,971.153,1721.76,
78,1002.84,2085.39,
79,1039.33,2621.54,
80,1079.98,1800.19,
81,1122.88,1937.51,
82,1164.81,1938.79,
83,1209.94,2921.78,
84,1248.35,2036.41,
85,1305.33,3484.82,
86,1343.1,2182.69,
87,1389.83,2322.25,
88,1436.24,2681.39,
89,1484.9,2501.82,
90,1536.11,2440.05,
91,1591.49,3121.84,
92,1629.26,2586.33,
93,1682.71,2793.43,
94,1740.65,3306.85,
95,1808.83,4458.21,
96,1871.89,2897.77,
97,1925.34,4103.23,
98,1986.16,2914.74,
99,2050.18,3779.3,
100,2111.95,3261.72,
101,2172.45,3435.85,
102,2240.63,3424.96,
103,2303.69,3967.2,
104,2364.5,3622.78,
105,2431.4,3843,
106,2521.67,3798.19,
107,2576.72,4004.01,
108,2653.87,3986.08,
109,2722.37,4238.63,
110,2805.59,4191.58,
111,2884.65,4448.61,
112,2957.63,4431.33,
113,3033.81,4647.07,
114,3121.52,4768.06,
115,3202.5,4990.84,
116,3289.56,4851.29,
117,3378.87,5299.41,
118,3472.98,5066.71,
119,3545.32,5389.36,
120,3643.58,5387.44,
121,3722.65,5654.39,
122,3819.95,5619.18,
123,4224.55,5892.86,
124,4268.72,5834.6,
125,4393.56,6220.95,
126,4467.82,6122.36,
127,4293.37,6326.58,
128,4405.72,6015.45,
129,4517.43,6900.82,
130,4627.86,7024.7,
131,4731.25,7176.1,
132,4833.36,6782.71,
133,4930.03,7505.47,
134,5055.82,7527.88,
135,5164.01,7643.43,
136,5282.77,7510.59,
137,5409.52,8163.26,
138,5522.83,8197.83,
139,5645.75,7976.64,
140,5780.83,7972.16,
141,5913.66,8676.36,
142,6013.53,8618.11,
143,6142.21,8593.46,
144,6283.05,8716.69,
145,6400.2,9242.28,
146,6557.04,9435.61,
147,6681.24,11932.3,
148,6829.76,9402,
149,6961.32,10319.7,
150,7125.84,10222.7,
151,7249.08,10268.2,
152,7393.12,9960.24,
153,7531.4,10764,
154,7680.56,10701.3,
155,7858.21,11153.9,
156,8015.37,10696.1,
157,8124.21,11496,
158,8331.3,11388.8,
159,8452.3,11819.6,
160,8590.26,11189.4,
161,8755.74,12416.3,
162,9088.64,12359.6,
163,9102.4,12213.7,
164,9300.86,12344,
165,9453.86,13267.7,
166,9605.9,13486.7,
167,10771.3,13320.2,
168,10283.5,13176.5,
169,10143.3,14286.9,
170,10344,14252,
171,10533.2,14086.5,
172,10662.2,14054.8,
173,10864.2,15106,
174,11091.4,14957.2,
175,11366.1,14962.9,
176,11503.1,15135.1,
177,11673.4,16034.3,
178,11858.7,15882.2,
179,12034.1,16064.7,
180,12184.9,15886.4,
181,12404.8,17089.9,
182,12669.2,17012.5,
183,12890,16904.6,
184,13012.9,17096.3,
185,13258.4,18314,
186,13538.2,18176,
187,13773.2,18006,
188,13974.8,17998.3,
189,14160.8,19204.1,
190,14398.9,19206.4,
191,14646.7,19389.1,
192,15127.8,19185.6,
193,15076.6,20516.5,
194,15316.3,20569.6,
195,15760.6,20470.1,
196,16307,20599.4,
197,16312.1,21687.1,
198,16631.6,22386.1,
199,16947.2,21945.4,
200,17200.4,21350.3,
201,17366.2,22773.1,
202,17848.2,23002,
203,17644.6,22744.6,
204,18104.3,22670.4,
205,18086.7,24838.7,
206,18642.4,24692.7,
207,18673.4,24227,
208,18986.5,23999.7,
209,19332.8,25424.4,
210,19525.8,25454.8,
211,20202.2,25677,
212,20245.1,25411.6,
213,20782.2,27151.6,
214,21959.1,26804.3,
215,21499.8,26905.5,
216,22149.9,26805,
217,21664.7,28330.2,
218,22083.7,29544.6,
219,23061.8,29891.6,
220,22873.6,28374.1,
221,23140.9,29947.6,
222,23323.4,29913.1,
223,24162.6,30181,
224,24339,29642.3,
225,24678.3,31728.6,
226,25436,31336.8,
227,25431.2,31528.5,
228,26040.9,31120.8,
229,26482.3,33248.1,
230,26383.7,32959,
231,26656.1,32907.8,
232,27492.9,32945.6,
233,28053,34963.4,
234,28043.1,34728.2,
235,28328.3,34733,
236,28808.7,35147.8,
237,28922.7,36300.8,
238,28634.3,36491.9,
239,29663.7,36473.9,
